,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
220,piloswine,146,294,209,77,305,267
219,swinub,146,294,209,77,305,267
27,sandslash,146,294,209,77,305,267
26,sandshrew,146,294,209,77,305,267
472,mamoswine,146,294,209,77,305,267
638,terrakion,207,232,210,222,166,261
337,solrock,207,274,168,205,184,260
336,lunatone,207,274,168,205,184,260
74,graveler,170,281,198,253,142,254
73,geodude,170,281,198,253,142,254
245,larvitar,170,281,198,253,142,254
246,pupitar,170,281,198,253,142,254
111,rhydon,170,281,198,253,142,254
463,rhyperior,170,281,198,253,142,254
94,onix,170,281,198,253,142,254
75,golem,170,281,198,253,142,254
110,rhyhorn,170,281,198,253,142,254
247,tyranitar,229,278,142,256,144,249
184,sudowoodo,180,364,105,200,203,246
437,bonsly,180,364,105,200,203,246
376,regirock,180,364,105,200,203,246
342,baltoy,182,220,247,176,227,246
525,gigalith,180,364,105,200,203,246
524,boldore,180,364,105,200,203,246
523,roggenrola,180,364,105,200,203,246
298,nosepass,180,364,105,200,203,246
407,cranidos,180,364,105,200,203,246
408,rampardos,180,364,105,200,203,246
343,claydol,182,220,247,176,227,246
550,sandile,198,242,209,208,208,233
551,krokorok,198,242,209,208,208,233
552,krookodile,198,242,209,208,208,233
458,snover,79,371,199,185,232,232
459,abomasnow,79,371,199,185,232,232
499,emboar,187,169,293,215,205,229
498,pignite,187,169,293,215,205,229
255,combusken,187,169,293,215,205,229
256,blaziken,187,169,293,215,205,229
390,monferno,187,169,293,215,205,229
391,infernape,187,169,293,215,205,229
639,virizion,220,107,322,244,178,227
285,breloom,220,107,322,244,178,227
123,jynx,210,197,242,85,343,221
237,smoochum,210,197,242,85,343,221
289,nincada,157,297,195,155,280,214
412,wormadam,189,163,297,251,187,211
45,paras,189,163,297,251,187,211
46,parasect,189,163,297,251,187,211
541,leavanny,189,163,297,251,187,211
540,swadloon,189,163,297,251,187,211
539,sewaddle,189,163,297,251,187,211
1,ivysaur,110,264,275,232,207,210
70,victreebel,110,264,275,232,207,210
314,roselia,110,264,275,232,207,210
68,bellsprout,110,264,275,232,207,210
406,roserade,110,264,275,232,207,210
101,exeggcute,148,186,315,261,178,210
102,exeggutor,148,186,315,261,178,210
405,budew,110,264,275,232,207,210
250,celebi,148,186,315,261,178,210
69,weepinbell,110,264,275,232,207,210
0,bulbasaur,110,264,275,232,207,210
42,oddish,110,264,275,232,207,210
2,venusaur,110,264,275,232,207,210
44,vileplume,110,264,275,232,207,210
590,amoonguss,110,264,275,232,207,210
589,foongus,110,264,275,232,207,210
43,gloom,110,264,275,232,207,210
622,golurk,216,196,237,293,151,205
37,ninetales,206,269,174,147,297,205
36,vulpix,206,269,174,147,297,205
621,golett,216,196,237,293,151,205
218,magcargo,202,245,202,272,173,204
584,deerling,120,222,307,221,225,203
585,sawsbuck,120,222,307,221,225,203
268,dustox,125,234,290,164,284,201
30,nidoqueen,85,338,226,171,277,201
14,beedrill,125,234,290,164,284,201
167,ariados,125,234,290,164,284,201
12,weedle,125,234,290,164,284,201
48,venomoth,125,234,290,164,284,201
47,venonat,125,234,290,164,284,201
166,spinarak,125,234,290,164,284,201
542,venipede,125,234,290,164,284,201
13,kakuna,125,234,290,164,284,201
543,whirlipede,125,234,290,164,284,201
33,nidoking,85,338,226,171,277,201
450,skorupi,125,234,290,164,284,201
544,scolipede,125,234,290,164,284,201
274,shiftry,170,191,288,285,164,200
331,cacturne,170,191,288,285,164,200
273,nuzleaf,170,191,288,285,164,200
214,sneasel,212,230,207,151,299,199
460,weavile,212,230,207,151,299,199
493,victini,177,199,273,214,246,189
198,slowking,150,239,260,257,203,189
78,slowpoke,150,239,260,257,203,189
120,starmie,150,239,260,257,203,189
79,slowbro,150,239,260,257,203,189
617,stunfisk,187,220,242,184,278,187
495,servine,137,242,270,203,260,186
496,serperior,137,242,270,203,260,186
152,bayleef,137,242,270,203,260,186
151,chikorita,137,242,270,203,260,186
494,snivy,137,242,270,203,260,186
511,simisage,137,242,270,203,260,186
153,meganium,137,242,270,203,260,186
510,pansage,137,242,270,203,260,186
191,sunflora,137,242,270,203,260,186
491,shaymin,137,242,270,203,260,186
419,cherubi,137,242,270,203,260,186
636,volcarona,175,182,292,189,274,186
635,larvesta,175,182,292,189,274,186
253,sceptile,137,242,270,203,260,186
252,grovyle,137,242,270,203,260,186
251,treecko,137,242,270,203,260,186
272,seedot,137,242,270,203,260,186
420,cherrim,137,242,270,203,260,186
181,bellossom,137,242,270,203,260,186
387,grotle,137,242,270,203,260,186
464,tangrowth,137,242,270,203,260,186
386,turtwig,137,242,270,203,260,186
284,shroomish,137,242,270,203,260,186
190,sunkern,137,242,270,203,260,186
646,keldeo,198,152,299,258,205,186
454,carnivine,137,242,270,203,260,186
469,leafeon,137,242,270,203,260,186
330,cacnea,137,242,270,203,260,186
113,tangela,137,242,270,203,260,186
547,petilil,137,242,270,203,260,186
548,lilligant,137,242,270,203,260,186
61,poliwrath,198,152,299,258,205,186
555,maractus,137,242,270,203,260,186
388,torterra,185,256,208,113,351,185
468,yanmega,162,247,240,201,264,184
165,ledian,162,247,240,201,264,184
221,corsola,189,248,212,241,224,184
122,scyther,162,247,240,201,264,184
414,combee,162,247,240,201,264,184
413,mothim,162,247,240,201,264,184
192,yanma,162,247,240,201,264,184
164,ledyba,162,247,240,201,264,184
266,beautifly,162,247,240,201,264,184
283,masquerain,162,247,240,201,264,184
563,tirtouga,189,248,212,241,224,184
415,vespiquen,162,247,240,201,264,184
140,kabutops,189,248,212,241,224,184
139,kabuto,189,248,212,241,224,184
138,omastar,189,248,212,241,224,184
