,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
26,sandshrew,177,372,252,87,375,339
27,sandslash,177,372,252,87,375,339
219,swinub,177,372,252,87,375,339
220,piloswine,177,372,252,87,375,339
472,mamoswine,177,372,252,87,375,339
638,terrakion,248,284,269,266,200,335
698,aurorus,256,348,197,208,259,334
697,amaura,256,348,197,208,259,334
337,solrock,254,347,200,247,234,320
336,lunatone,254,347,200,247,234,320
247,tyranitar,281,336,184,304,179,318
111,rhydon,207,344,250,301,183,317
463,rhyperior,207,344,250,301,183,317
110,rhyhorn,207,344,250,301,183,317
94,onix,207,344,250,301,183,317
73,geodude,207,344,250,301,183,317
74,graveler,207,344,250,301,183,317
75,golem,207,344,250,301,183,317
246,pupitar,207,344,250,301,183,317
245,larvitar,207,344,250,301,183,317
525,gigalith,221,452,128,236,260,305
523,roggenrola,221,452,128,236,260,305
524,boldore,221,452,128,236,260,305
184,sudowoodo,221,452,128,236,260,305
743,rockruff,221,452,128,236,260,305
437,bonsly,221,452,128,236,260,305
744,lycanroc,221,452,128,236,260,305
408,rampardos,221,452,128,236,260,305
298,nosepass,221,452,128,236,260,305
407,cranidos,221,452,128,236,260,305
376,regirock,221,452,128,236,260,305
343,claydol,221,272,308,212,289,300
342,baltoy,221,272,308,212,289,300
739,crabominable,273,179,349,116,389,296
550,sandile,241,288,272,247,259,295
551,krokorok,241,288,272,247,259,295
552,krookodile,241,288,272,247,259,295
458,snover,94,463,244,226,285,290
459,abomasnow,94,463,244,226,285,290
499,emboar,221,203,377,267,251,283
498,pignite,221,203,377,267,251,283
390,monferno,221,203,377,267,251,283
255,combusken,221,203,377,267,251,283
391,infernape,221,203,377,267,251,283
256,blaziken,221,203,377,267,251,283
285,breloom,257,127,417,294,225,282
651,chesnaught,257,127,417,294,225,282
639,virizion,257,127,417,294,225,282
123,jynx,264,241,296,96,425,280
237,smoochum,264,241,296,96,425,280
460,weavile,259,273,269,178,354,269
214,sneasel,259,273,269,178,354,269
718,diancie,227,441,133,312,225,264
702,carbink,227,441,133,312,225,264
274,shiftry,198,236,367,340,198,263
273,nuzleaf,198,236,367,340,198,263
331,cacturne,198,236,367,340,198,263
